               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12066,            0.046031,                   0,          0.00053763,             0.04902,          0.00028397,          3.3878e-05,             0.11043,            0.045915,                   0,              0.0007,              0.0007,              0.0937
                   1,             0.11805,            0.047227,                   0,          0.00096774,            0.088235,          0.00060253,          9.5777e-05,              0.1027,            0.045735,                   0,           0.0014257,           0.0014257,            0.086426
                   2,             0.11575,            0.046983,                   0,           0.0013978,             0.12745,           0.0012335,          0.00024836,            0.098111,            0.044562,                   0,           0.0020723,           0.0020723,            0.079072
                   3,             0.10748,             0.04761,                   0,           0.0022581,             0.20588,           0.0018602,          0.00034183,            0.094403,            0.043236,                   0,           0.0026396,           0.0026396,             0.07164
                   4,             0.10359,            0.049857,                   0,           0.0035484,             0.32353,           0.0038276,          0.00073383,             0.09035,            0.042558,                   0,           0.0031278,           0.0031278,            0.064128
                   5,            0.099224,            0.048172,                   0,           0.0052688,             0.48039,              0.0136,           0.0025014,            0.085324,            0.042326,                   0,           0.0035367,           0.0035367,            0.056537
                   6,            0.093591,            0.050043,                   0,            0.063541,             0.39216,             0.08465,            0.015492,            0.082435,            0.039739,                   0,           0.0038665,           0.0038665,            0.048867
                   7,            0.091732,            0.051071,                   0,             0.16805,             0.30392,             0.10235,            0.020845,            0.080209,            0.035154,                   0,           0.0041171,           0.0041171,            0.041117
                   8,            0.083922,            0.047415,                   0,             0.18441,             0.38235,             0.17972,            0.033922,            0.082639,            0.031578,                   0,           0.0042884,           0.0042884,            0.033288
                   9,            0.089469,            0.041003,                   0,              0.1801,             0.20588,             0.13273,             0.02039,            0.091605,             0.04107,                   0,           0.0043806,           0.0043806,            0.025381
                  10,            0.091694,            0.036398,                   0,             0.21554,             0.34314,             0.15165,            0.025796,            0.093792,            0.031971,                   0,           0.0043935,           0.0043935,            0.017394
                  11,            0.094172,            0.032833,                   0,             0.13347,             0.30392,             0.10751,            0.018034,            0.088283,            0.022787,                   0,           0.0043273,           0.0043273,           0.0093273
                  12,            0.094419,            0.032373,                   0,             0.24109,             0.39216,             0.21876,            0.054065,            0.091342,            0.021804,                   0,             0.00406,             0.00406,             0.00406
                  13,            0.095203,            0.030393,                   0,             0.24093,             0.37255,             0.17796,            0.036424,            0.086685,            0.019625,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.083651,            0.029005,                   0,             0.43805,              0.4902,             0.41421,             0.07955,            0.077965,            0.021106,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.078634,            0.032022,                   0,             0.51632,              0.4902,              0.4399,             0.10841,            0.075444,            0.021664,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.076879,            0.027911,                   0,             0.55497,             0.57843,             0.51655,             0.13393,             0.06856,            0.021712,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.073437,            0.028506,                   0,             0.59503,             0.57622,             0.55397,             0.15997,            0.063827,            0.021461,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.070521,            0.029911,                   0,             0.73755,             0.60615,             0.66601,             0.21042,             0.06011,            0.021411,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.067873,            0.030825,                   0,             0.68942,             0.60937,             0.63626,             0.19939,            0.059708,            0.021403,                   0,             0.00109,             0.00109,             0.00109
